State,Sales,Profit
California,457687.63,76381.39
New York,310876.27,74038.55
Texas,170188.05,-25729.36
Washington,138641.27,33402.65
Pennsylvania,116511.91,-15559.96
Florida,89473.71,-3399.3
Illinois,80166.1,-12607.89
Ohio,77976.76,-16959.32
Michigan,76269.61,24463.19
Virginia,70636.72,18597.95
North Carolina,55603.16,-7490.91
Indiana,53555.36,18382.94
Georgia,49095.84,16250.04
Kentucky,36591.75,11199.7
New Jersey,35764.31,9772.91
Arizona,35282.0,-3427.92
Wisconsin,32114.61,8401.8
Colorado,32108.12,-6527.86
Tennessee,30661.87,-5341.69
Minnesota,29863.15,10823.19
Massachusetts,28634.43,6785.5
Delaware,27451.07,9977.37
Maryland,23705.52,7031.18
Rhode Island,22627.96,7285.63
Missouri,22205.15,6436.21
Oklahoma,19683.39,4853.96
Alabama,19510.64,5786.83
Oregon,17431.15,-1190.47
Nevada,16729.1,3316.77
Connecticut,13384.36,3511.49
Arkansas,11678.13,4008.69
Utah,11220.06,2546.53
Mississippi,10771.34,3172.98
Louisiana,9217.03,2196.1
Vermont,8929.37,2244.98
South Carolina,8481.71,1769.06
Nebraska,7464.93,2037.09
New Hampshire,7292.52,1706.5
Montana,5589.35,1833.33
New Mexico,4783.52,1157.12
Iowa,4579.76,1183.81
Idaho,4382.49,826.72
Kansas,2914.31,836.44
District of Columbia,2865.02,1059.59
Wyoming,1603.14,100.2
South Dakota,1315.56,394.83
Maine,1270.53,454.49
West Virginia,1209.82,185.92
North Dakota,919.91,230.15
